event,username,day,month,year,hour,minute,second
online,Altoemilius,22,4,2024,2,48,47
online,Altoemilius,22,4,2024,2,48,47
connected,Altoemilius,22,4,2024,2,48,47
connected,fabimontans,22,4,2024,2,51,4
disconnected,fabimontans,22,4,2024,4,54,6
disconnected,Altoemilius,22,4,2024,4,54,6
offline,Altoemilius,22,4,2024,4,54,9
offline,Altoemilius,22,4,2024,4,54,9
disconnected,Saborcito,22,4,2024,4,54,10
offline,fabimontans,22,4,2024,4,55,44
offline,Saborcito,22,4,2024,4,57,16
online,Saborcito,22,4,2024,20,24,41
online,Saborcito,22,4,2024,20,38,23
offline,Saborcito,22,4,2024,21,23,27
online,Altoemilius,23,4,2024,2,12,58
online,Altoemilius,23,4,2024,2,12,58
online,Saborcito,23,4,2024,2,45,13
connected,Saborcito,23,4,2024,2,45,24
connected,Altoemilius,23,4,2024,2,48,10
disconnected,Saborcito,23,4,2024,5,26,14
disconnected,Altoemilius,23,4,2024,5,26,14
offline,Altoemilius,23,4,2024,5,26,17
offline,Altoemilius,23,4,2024,5,26,17
offline,Saborcito,23,4,2024,5,27,52
online,Altoemilius,23,4,2024,11,50,8
online,Altoemilius,23,4,2024,11,50,8
offline,Altoemilius,23,4,2024,11,50,15
offline,Altoemilius,23,4,2024,11,50,15
online,Saborcito,23,4,2024,16,4,18
online,Saborcito,23,4,2024,16,34,33
offline,Saborcito,23,4,2024,17,21,5
online,Saborcito,24,4,2024,2,24,23
offline,Saborcito,24,4,2024,2,24,42
online,Saborcito,24,4,2024,2,42,23
online,fabimontans,24,4,2024,3,1,29
connected,fabimontans,24,4,2024,3,1,57
online,Altoemilius,24,4,2024,3,13,2
online,Altoemilius,24,4,2024,3,13,2
online,Altoemilius,24,4,2024,3,13,55
online,Altoemilius,24,4,2024,3,13,55
connected,Altoemilius,24,4,2024,3,14,19
connected,Saborcito,24,4,2024,3,20,14
disconnected,Saborcito,24,4,2024,4,42,2
disconnected,Altoemilius,24,4,2024,4,42,3
disconnected,fabimontans,24,4,2024,4,42,3
offline,Altoemilius,24,4,2024,4,42,5
offline,Altoemilius,24,4,2024,4,42,5
offline,fabimontans,24,4,2024,4,43,57
offline,Saborcito,24,4,2024,4,46,40
offline,,24,4,2024,15,19,34
online,,24,4,2024,15,20,27
online,Saborcito,24,4,2024,15,24,53
online,Saborcito,24,4,2024,17,27,23
online,Saborcito,24,4,2024,18,48,15
offline,Saborcito,24,4,2024,19,8,28
online,Saborcito,24,4,2024,20,50,51
offline,Saborcito,24,4,2024,21,28,52
online,Altoemilius,25,4,2024,2,17,5
online,Altoemilius,25,4,2024,2,17,5
online,Saborcito,25,4,2024,2,29,38
connected,Saborcito,25,4,2024,2,35,18
offline,Altoemilius,25,4,2024,2,45,28
offline,Altoemilius,25,4,2024,2,45,28
online,Altoemilius,25,4,2024,2,45,52
online,Altoemilius,25,4,2024,2,45,52
connected,Altoemilius,25,4,2024,2,45,58
online,fabimontans,25,4,2024,2,56,51
connected,fabimontans,25,4,2024,2,57,20
disconnected,Altoemilius,25,4,2024,4,51,26
disconnected,fabimontans,25,4,2024,4,51,27
disconnected,Saborcito,25,4,2024,4,51,27
offline,Altoemilius,25,4,2024,4,51,29
offline,Altoemilius,25,4,2024,4,51,29
offline,fabimontans,25,4,2024,4,53,12
offline,Saborcito,25,4,2024,4,53,21
online,Altoemilius,25,4,2024,14,14,36
online,Altoemilius,25,4,2024,14,14,36
offline,Altoemilius,25,4,2024,14,15,8
offline,Altoemilius,25,4,2024,14,15,8
online,Saborcito,25,4,2024,14,15,56
offline,Saborcito,25,4,2024,14,32,25
online,Saborcito,25,4,2024,20,20,18
online,Saborcito,25,4,2024,20,37,25
online,Saborcito,25,4,2024,21,46,10
offline,Saborcito,25,4,2024,21,56,22
online,Saborcito,26,4,2024,2,2,54
offline,Saborcito,26,4,2024,2,2,55
online,Altoemilius,26,4,2024,2,12,59
online,Altoemilius,26,4,2024,2,12,59
online,Saborcito,26,4,2024,2,40,44
connected,Altoemilius,26,4,2024,2,45,5
connected,Saborcito,26,4,2024,2,54,10
online,fabimontans,26,4,2024,3,12,56
connected,fabimontans,26,4,2024,3,14,27
disconnected,fabimontans,26,4,2024,4,52,43
disconnected,Altoemilius,26,4,2024,4,52,44
disconnected,Saborcito,26,4,2024,4,52,44
offline,Altoemilius,26,4,2024,4,52,46
offline,Altoemilius,26,4,2024,4,52,46
offline,fabimontans,26,4,2024,4,54,11
offline,Saborcito,26,4,2024,4,55,43
online,fabimontans,27,4,2024,2,28,10
online,Altoemilius,27,4,2024,2,30,31
online,Altoemilius,27,4,2024,2,30,31
online,Saborcito,27,4,2024,2,48,8
online,Altoemilius,27,4,2024,3,0,5
online,Altoemilius,27,4,2024,3,0,5
connected,Saborcito,27,4,2024,3,0,17
connected,Altoemilius,27,4,2024,3,14,39
